Name: 
MZ: 0
MASSTOLERANCE: 0
SCAN RETENTIONTIME BASEMZ INTENSITY
0 0.00740416301414371 149.02278137207 81400.625
1 0.0142073929309845 149.02278137207 82038.4375
2 0.0210103765130043 149.02278137207 82569.6875
3 0.027796808630228 149.02278137207 82829.75
4 0.0345998220145702 149.02278137207 83254.5625
5 0.041386291384697 149.02278137207 83158.875
6 0.048172764480114 149.02278137207 83082
7 0.0549758225679398 149.02278137207 82651.9375
8 0.0617621168494225 149.02278137207 82065.25
9 0.0685484930872917 149.02278137207 81803.6875
10 0.0753515958786011 149.02278137207 81570.9375
11 0.0821381211280823 149.02278137207 81633.5625
12 0.0889410823583603 149.02278137207 81776.875
13 0.0957276597619057 149.02278137207 81661.6875
14 0.102514035999775 149.02278137207 81452.5
15 0.109316982328892 149.02278137207 81175.5
16 0.116103373467922 149.02278137207 80819.625
17 0.122873269021511 149.02278137207 80688.0625
18 0.129692882299423 149.02278137207 80502.5625
19 0.136479392647743 149.02278137207 80231.6875
20 0.143282443284988 149.02278137207 80165.5
21 0.150068745017052 149.02278137207 80042.0625
22 0.156855240464211 149.02278137207 80132.8125
23 0.163658276200294 149.02278137207 80438.6875
24 0.170444697141647 149.02278137207 80474.5625
25 0.177247762680054 149.02278137207 80458
26 0.184034243226051 149.02278137207 80231.9375
27 0.190820574760437 149.02278137207 79861.875
28 0.197623714804649 149.02278137207 79731.9375
29 0.204410091042519 149.02278137207 79765.875
30 0.211196467280388 149.02278137207 79926.0625
31 0.217999562621117 149.02278137207 80232.0625
32 0.224785998463631 149.02278137207 80464
33 0.231589153409004 149.02278137207 80725.4375
34 0.238375559449196 149.02278137207 80936.5625
35 0.24516187608242 149.02278137207 80967.25
36 0.251964867115021 149.02278137207 80998.5
37 0.259268224239349 149.02278137207 80702.1875
38 0.266071319580078 149.02278137207 80382.8125
39 0.272857755422592 149.02278137207 80309.875
40 0.279660791158676 149.02278137207 80413.125
41 0.28644722700119 149.02278137207 81072.375
42 0.293233752250671 149.02278137207 82267.1875
43 0.300069987773895 149.02278137207 83630.3125
44 0.313559412956238 149.02278137207 85220.1875
45 0.320345938205719 149.02278137207 86820.5
46 0.327149003744125 149.02278137207 87955.5625
47 0.333935469388962 149.02278137207 88522.875
48 0.340721964836121 149.02278137207 88002.25
49 0.347525000572205 149.02278137207 86435.8125
